[LOW] 172.64.148.235 | TCP | Risk=1.13 | ML=Benign | Normal
[LOW] 172.64.148.235 | TCP | Risk=1.87 | ML=Benign | Normal
[LOW] 10.0.1.138 | TCP | Risk=4.67 | ML=Benign | Normal
[LOW] 10.0.1.138 | TCP | Risk=5.4 | ML=Benign | Normal
[LOW] 10.0.1.138 | TCP | Risk=6.13 | ML=Benign | Normal
[LOW] 10.0.1.138 | TCP | Risk=6.87 | ML=Benign | Normal
[LOW] 10.0.1.138 | TCP | Risk=7.6 | ML=Benign | Normal
[LOW] 13.107.137.11 | TCP | Risk=0.73 | ML=Benign | Normal
[LOW] 13.107.137.11 | TCP | Risk=1.47 | ML=Benign | Normal
[LOW] 13.107.137.11 | TCP | Risk=2.2 | ML=Benign | Normal
[LOW] 104.208.16.95 | TCP | Risk=1.47 | ML=Benign | Normal
[LOW] 104.208.16.95 | TCP | Risk=1.92 | ML=Benign | Normal
[LOW] 104.208.16.95 | TCP | Risk=2.66 | ML=Benign | Normal
